stringId	preferredName
ENSP00000338964	GGT7
ENSP00000321389	HIST1H2AC
ENSP00000364687	EHMT2
ENSP00000369695	MLLT3
ENSP00000338185	PLCB1
ENSP00000342056	CS
ENSP00000334675	ERCC6L
ENSP00000367299	VPS36
ENSP00000256458	IRAK2
ENSP00000342889	POLR2K
ENSP00000267540	STON2
ENSP00000362469	SLC2A8
ENSP00000401721	PAN2
ENSP00000358153	HIST2H4B
ENSP00000288985	ERCC6L2
ENSP00000306459	B4GALT6
ENSP00000330341	SOCS3
ENSP00000289371	EIF5B
ENSP00000219252	POLR2C
ENSP00000381340	GGT5
ENSP00000340691	EIF4EBP1
ENSP00000375809	ERCC2
ENSP00000364519	TFDP1
ENSP00000228347	POLR3B
ENSP00000349430	HIST1H2BK
ENSP00000277865	GLUD1
ENSP00000302108	PANK1
ENSP00000350512	COPS5
ENSP00000357883	PIP5K1A
ENSP00000303408	HIST1H2BO
ENSP00000333920	TTF1
ENSP00000378350	CDC23
ENSP00000309503	YWHAZ
ENSP00000435777	RPS13
ENSP00000380795	VPS29
ENSP00000349428	PTBP1
ENSP00000309334	RPL15
ENSP00000361245	HECTD3
ENSP00000293406	LSM12
ENSP00000251535	ALOX12
ENSP00000317817	SH2D3C
ENSP00000434034	FZD4
ENSP00000331682	KLHL22
ENSP00000391311	SEPT5
ENSP00000345689	RAB5C
ENSP00000331897	IDH2
ENSP00000358762	UBE3D
ENSP00000362115	INPP5B
ENSP00000217893	TAF9
ENSP00000379891	AP1S3
ENSP00000363019	UBE2D1
ENSP00000358064	RPRD2
ENSP00000301037	SGK494
ENSP00000284142	ASB17
ENSP00000348849	RPS26
ENSP00000342609	ACER2
ENSP00000351981	SGMS2
ENSP00000215574	CDC34
ENSP00000321038	TMEM86B
ENSP00000348708	UPF2
ENSP00000346437	ATG7
ENSP00000354739	RPL12
ENSP00000330237	CASP9
ENSP00000387911	PARN
ENSP00000458307	GGT6
ENSP00000361076	RPL7A
ENSP00000235932	RAB7L1
ENSP00000385610	MEX3C
